,location,total_sqft,bath,price,bhk
1815,Padmanabhanagar,1258.0,2.0,115.0,2
1816,Kanakpura Road,1560.0,3.0,92.0,3
1817,Old Madras Road,3630.0,6.0,195.0,4
1818,JP Nagar,2000.0,3.0,250.0,3
1819,Hebbal,2790.0,4.0,198.0,4
1820,Badavala Nagar,1494.0,2.0,94.55,3
1821,Hennur Road,1482.0,2.0,87.0,3
1822,other,800.0,2.0,50.0,2
1823,Raja Rajeshwari Nagar,1185.0,2.0,47.39,2
1824,Hulimavu,1100.0,2.0,71.5,2
1825,NRI Layout,1300.0,2.0,120.0,2
1826,other,1225.0,2.0,150.0,2
1827,Hulimavu,1758.0,3.0,65.0,3
1828,Banaswadi,1145.0,2.0,55.0,2
1829,Hormavu,1180.0,2.0,50.0,2
1830,other,1260.0,2.0,58.0,2
1831,Yelahanka,3461.0,2.0,173.0,4
1832,Arekere,1190.0,2.0,55.0,2
1833,Sarjapur  Road,1691.0,3.0,119.0,3
1834,other,3675.0,4.0,367.0,4
1835,Frazer Town,1305.0,3.0,95.45,3
1836,Basavangudi,2337.0,4.0,292.0,3
1837,other,1200.0,2.0,150.0,2
1838,Domlur,1206.0,2.0,217.0,2
1839,other,1350.0,4.0,130.0,5
1840,Kogilu,1140.0,2.0,50.66,2
1841,other,1250.0,2.0,65.0,2
1842,other,600.0,2.0,60.0,3
1843,other,1225.0,2.0,48.0,2
1844,Kereguddadahalli,800.0,2.0,28.0,2
1845,Jalahalli East,1020.0,2.0,58.0,2
1846,TC Palaya,2100.0,2.0,50.0,4
1847,other,1350.0,2.0,80.0,2
1848,Anekal,925.0,2.0,40.0,2
1849,Yelachenahalli,1800.0,3.0,220.0,4
1850,other,2000.0,3.0,100.0,3
1851,Frazer Town,1510.0,2.0,75.0,3
1852,Kasavanhalli,5800.0,7.0,1200.0,5
1853,other,1614.0,3.0,110.0,3
1854,Yeshwanthpur,682.0,2.0,130.0,3
1855,Gottigere,1200.0,2.0,95.0,2
1856,TC Palaya,900.0,2.0,55.0,2
1857,Bommenahalli,1632.0,3.0,145.0,4
1858,OMBR Layout,1041.0,2.0,65.5,2
1859,7th Phase JP Nagar,5080.0,7.0,450.0,6
1860,Bannerghatta,3012.0,6.0,250.0,4
1861,Marathahalli,1530.0,3.0,74.5,3
1862,Sector 2 HSR Layout,1450.0,2.0,135.0,3
1863,Bannerghatta Road,1200.0,2.0,75.0,2
1864,Sahakara Nagar,1200.0,4.0,130.0,4
1865,Hosur Road,1508.0,2.0,110.0,3
1866,other,600.0,7.0,106.0,7
1867,other,1188.0,2.0,73.0,2
1868,Old Airport Road,2690.0,4.0,199.0,4
1869,Harlur,1174.0,2.0,76.0,2
1870,Old Madras Road,1350.0,3.0,58.99,3
1871,Frazer Town,1870.0,3.0,185.0,3
1872,Kengeri Satellite Town,1072.0,2.0,25.0,2
1873,other,52272.0,2.0,140.0,3
1874,Kengeri,726.0,2.0,31.0,2
1875,Hosur Road,1345.0,2.0,106.0,2
1876,Begur Road,1200.0,2.0,45.0,2
1877,Nagavarapalya,980.0,2.0,37.0,2
1878,Hormavu,1050.0,2.0,77.0,2
1879,Uttarahalli,993.0,2.0,39.71,2
1880,7th Phase JP Nagar,1300.0,2.0,52.0,3
1881,Vittasandra,1743.0,3.0,85.0,3
1882,Whitefield,1204.0,4.0,125.0,4
1883,Hormavu,1200.0,2.0,67.0,2
1884,other,1480.0,3.0,90.0,3
1885,Sarjapur,950.0,2.0,32.5,2
1886,Domlur,640.0,1.0,55.0,1
1887,Electronic City Phase II,972.0,2.0,44.0,2
1888,Marathahalli,1840.0,3.0,98.0,3
1889,Electronic City,1128.0,2.0,64.0,2
1890,other,680.0,2.0,42.0,2
1891,other,2400.0,2.0,95.0,2
1892,Basapura,1045.0,2.0,42.0,2
1893,other,955.0,2.0,53.55,2
1894,Doddakallasandra,1360.0,2.0,54.39,3
1895,BTM Layout,1150.0,2.0,63.0,2
1896,Hennur Road,3450.0,4.0,294.0,4
1897,other,1115.0,2.0,56.87,2
1898,Jigani,920.0,2.0,46.0,2
1899,Bommasandra Industrial Area,1030.0,2.0,41.0,2
1900,Thanisandra,1564.0,3.0,101.0,3
1901,Uttarahalli,1045.0,2.0,45.0,2
1902,Hegde Nagar,1200.0,4.0,83.0,4
1903,Subramanyapura,1277.0,2.0,55.0,2
1904,other,2479.13,3.0,215.0,3
1905,Sarjapur  Road,1846.0,3.0,140.0,3
1906,other,1100.0,2.0,106.0,2
1907,other,1690.0,3.0,75.0,3
1908,Hormavu,1200.0,3.0,70.0,2
1909,Yelahanka,3042.0,4.0,131.0,4
1910,Rajaji Nagar,1640.0,3.0,223.0,3
1911,other,1068.0,2.0,40.05,2
1912,Kanakpura Road,1135.0,2.0,58.0,2
1913,other,1925.0,3.0,120.0,3
1914,Begur Road,1615.0,3.0,60.0,3
1915,other,650.0,1.0,26.0,1
1916,other,1200.0,9.0,120.0,9
1917,Kaggadasapura,1150.0,2.0,42.0,2
1918,Kothannur,930.0,6.0,135.0,6
1919,other,1410.0,2.0,45.12,3
1920,6th Phase JP Nagar,600.0,2.0,100.0,3
1921,other,2000.0,3.0,207.0,3
1922,Tumkur Road,1354.0,3.0,90.0,3
1923,other,1050.0,2.0,110.0,2
1924,Arekere,600.0,1.0,28.0,1
1925,Varthur,1320.0,2.0,110.0,4
1926,Koramangala,1600.0,3.0,88.0,3
1927,Kanakpura Road,3500.0,6.0,225.0,4
1928,GM Palaya,1000.0,2.0,36.0,2
1929,other,1130.0,3.0,38.0,3
1930,Vittasandra,1238.0,2.0,67.0,2
1931,other,2204.0,2.0,305.0,3
1932,Kudlu Gate,1364.0,2.0,46.38,3
1933,other,900.0,2.0,45.0,2
1934,Gubbalala,1745.0,3.0,104.0,3
1935,Kogilu,1200.0,2.0,53.33,2
1936,Kanakapura,1020.0,2.0,42.83,2
1937,Banashankari Stage III,1650.0,3.0,118.0,3
1938,other,1550.0,2.0,70.0,3
1939,5th Phase JP Nagar,1440.0,2.0,60.0,2
1940,Sarjapura - Attibele Road,1329.0,2.0,45.95,3
1941,other,916.0,2.0,42.0,2
1942,Hulimavu,688.0,1.0,50.0,1
1943,other,1358.0,3.0,50.0,3
1944,Kanakpura Road,1331.0,2.0,107.0,2
1945,Malleshwaram,686.0,1.0,62.5,1
1946,Hoodi,1050.0,2.0,50.0,2
1947,Talaghattapura,2106.0,3.0,126.0,3
1948,Bhoganhalli,1718.0,3.0,90.2,3
1949,Raja Rajeshwari Nagar,1530.0,3.0,57.0,3
1950,5th Block Hbr Layout,1206.0,2.0,56.0,2
1951,Hebbal,1075.0,2.0,52.0,2
1952,Sarjapur  Road,1200.0,3.0,95.0,3
1953,other,1936.0,2.0,54.21,3
1954,Nagavara,2172.65,3.0,120.0,4
1955,Sahakara Nagar,1100.0,2.0,75.0,3
1956,BTM 2nd Stage,1260.0,5.0,185.0,3
1957,Jalahalli East,800.0,2.0,80.0,3
1958,Sarjapur  Road,1117.0,2.0,29.99,2
1959,other,1685.0,2.0,110.0,3
1960,CV Raman Nagar,740.0,2.0,37.0,2
1961,Chamrajpet,1080.0,4.0,250.0,4
1962,Magadi Road,1500.0,2.0,93.0,4
1963,Banashankari,1800.0,3.0,115.0,3
1964,Yelachenahalli,1700.0,3.0,130.0,3
1965,Uttarahalli,850.0,2.0,37.93,2
1966,Hennur Road,1891.0,3.0,139.0,3
1967,Jalahalli,1400.0,1.0,80.0,2
1968,Lakshminarayana Pura,1172.0,2.0,82.0,2
1969,Electronic City Phase II,1400.0,2.0,40.43,3
1970,Sonnenahalli,896.0,2.0,43.75,2
1971,Vijayanagar,1180.0,2.0,65.0,2
1972,Basaveshwara Nagar,2460.0,7.0,350.0,7
1973,other,850.0,2.0,33.0,2
1974,Anekal,530.0,1.0,18.0,1
1975,other,1550.0,3.0,110.0,3
1976,Kanakapura,1699.0,3.0,97.0,3
1977,Bellandur,2025.0,4.0,109.0,4
1978,Ananth Nagar,500.0,2.0,14.0,1
1979,other,500.0,1.0,20.0,1
1980,other,1146.0,2.0,38.5,2
1981,Malleshwaram,2475.0,4.0,332.0,3
1982,Haralur Road,1455.0,2.0,145.0,2
1983,Seegehalli,800.0,1.0,50.0,2
1984,Abbigere,765.0,2.0,30.0,1
1985,Lingadheeranahalli,1521.0,3.0,94.99,3
1986,Gottigere,1600.0,2.0,55.0,3
1987,other,3155.0,4.0,370.0,3
1988,Hebbal Kempapura,2900.0,4.0,240.0,3
1989,other,1765.0,3.0,105.0,3
1990,Kasavanhalli,1980.0,3.0,88.0,3
1991,Amruthahalli,1900.0,3.0,135.0,3
1992,other,1265.0,2.0,70.0,2
1993,Bommasandra,1034.0,2.0,40.0,2
1994,other,1012.0,2.0,59.0,2
1995,Electronic City,1070.0,2.0,54.0,2
1996,Mahadevpura,3555.0,4.0,230.0,4
1997,5th Block Hbr Layout,1270.0,2.0,70.0,3
1998,Yeshwanthpur,585.0,1.0,70.0,2
1999,other,2045.0,4.0,154.0,3
2000,Bellandur,1490.0,2.0,98.0,3
2001,Banaswadi,6150.0,6.0,830.0,7
2002,Mysore Road,883.0,2.0,40.0,2
2003,Yeshwanthpur,671.0,1.0,36.85,1
2004,Kammasandra,1156.0,2.0,32.0,2
2005,Haralur Road,2017.0,3.0,125.0,3
2006,Thigalarapalya,3122.0,6.0,235.0,4
2007,Ramagondanahalli,1635.0,3.0,62.0,3
2008,other,4400.0,9.0,120.0,7
2009,Kanakpura Road,1296.0,2.0,89.0,2
2010,other,2400.0,4.0,280.0,6
2011,Budigere,1139.0,2.0,62.0,2
2012,CV Raman Nagar,1230.0,3.0,47.0,2
2013,other,581.91,2.0,25.0,1
2014,Binny Pete,1245.0,2.0,86.28,2
2015,other,1158.0,2.0,85.0,3
2016,Marathahalli,3951.0,4.0,220.0,4
2017,Electronic City,550.0,1.0,15.0,2
2018,Ramamurthy Nagar,360.0,1.0,26.0,1
2019,Electronics City Phase 1,1350.0,3.0,55.0,3
2020,Green Glen Layout,1670.0,3.0,120.0,3
2021,Akshaya Nagar,1600.0,2.0,65.0,3
2022,Horamavu Banaswadi,1307.0,2.0,51.6,2
2023,7th Phase JP Nagar,1050.0,2.0,57.0,3
2024,Hennur Road,1703.0,3.0,101.0,3
2025,Kaggalipura,1210.0,2.0,58.0,3
2026,Electronic City,1025.0,2.0,29.6,2
2027,Haralur Road,1140.0,2.0,43.0,2
2028,7th Phase JP Nagar,1343.0,2.0,56.41,3
2029,R.T. Nagar,1560.0,3.0,85.0,3
2030,Kalkere,925.0,2.0,51.0,2
2031,Kanakpura Road,1420.0,2.0,75.0,3
2032,1st Block Koramangala,1415.0,2.0,110.0,2
2033,other,1210.0,2.0,60.0,2
2034,Yeshwanthpur,1852.0,3.0,160.0,3
2035,Hoskote,1250.0,3.0,50.0,3
2036,9th Phase JP Nagar,1100.0,2.0,65.0,2
2037,2nd Phase Judicial Layout,1150.0,2.0,40.25,2
2038,Jakkur,1100.0,2.0,53.35,2
2039,Magadi Road,1350.0,1.0,100.0,2
2040,Panathur,1546.0,3.0,99.0,3
2041,Ambedkar Nagar,1424.0,2.0,90.0,2
2042,Bellandur,1398.0,3.0,68.0,3
2043,Indira Nagar,1650.0,3.0,200.0,3
2044,HBR Layout,1200.0,4.0,120.0,4
2045,Brookefield,1476.0,3.0,105.0,3
2046,other,500.0,2.0,70.0,2
2047,Magadi Road,1322.0,2.0,58.82,3
2048,other,432.0,2.0,40.0,2
2049,other,1100.0,2.0,55.0,2
2050,other,4750.0,5.0,600.0,4
2051,Sarjapur,1285.0,2.0,68.0,3
2052,Ambalipura,1150.0,2.0,80.0,2
2053,Thanisandra,1430.0,2.0,56.0,3
2054,Marathahalli,1350.0,2.0,62.0,3
2055,other,1350.0,3.0,195.0,3
2056,Thubarahalli,1185.0,2.0,65.0,2
2057,Bannerghatta Road,1760.0,3.0,67.0,3
2058,other,2400.0,5.0,350.0,4
2059,Kanakpura Road,900.0,2.0,41.0,2
2060,Kanakpura Road,1297.0,2.0,105.0,2
2061,Sector 1 HSR Layout,1840.0,3.0,155.0,3
2062,Ramamurthy Nagar,950.0,2.0,50.79,2
2063,Chikkabanavar,1200.0,4.0,70.0,5
2064,BTM 2nd Stage,950.0,2.0,52.0,2
2065,Yeshwanthpur,1277.5,2.0,95.815,2
2066,Electronic City,1571.0,3.0,89.0,3
2067,Electronic City Phase II,1031.0,2.0,55.0,2
2068,Whitefield,1485.0,2.0,90.0,2
2069,Ananth Nagar,1109.0,2.0,60.0,2
2070,Koramangala,2200.0,3.0,180.0,3
2071,Whitefield,950.0,1.0,50.0,1
2072,Laggere,1200.0,2.0,150.0,3
2073,Hosa Road,1161.0,2.0,55.15,2
2074,Basavangudi,2350.0,3.0,300.0,3
2075,Electronic City Phase II,1003.0,2.0,40.6,2
2076,other,1350.0,2.0,185.0,2
2077,9th Phase JP Nagar,1080.0,2.0,37.0,2
2078,Hulimavu,1255.0,2.0,73.0,2
2079,Banaswadi,1250.0,2.0,60.0,2
2080,Brookefield,1700.0,4.0,152.0,4
2081,Ramamurthy Nagar,1200.0,2.0,66.0,3
2082,other,824.0,2.0,60.0,2
2083,1st Phase JP Nagar,1875.0,3.0,167.0,3
2084,Bommasandra Industrial Area,1320.0,2.0,38.12,3
2085,Kothanur,9600.0,5.0,550.0,5
2086,Uttarahalli,1330.0,2.0,47.0,3
2087,Kaikondrahalli,1220.0,3.0,56.0,3
2088,Electronic City,1111.0,3.0,50.0,3
2089,Kothannur,1197.0,2.0,47.88,2
2090,Marathahalli,2519.0,5.0,185.0,4
2091,other,1340.0,2.0,100.0,3
2092,Old Madras Road,1450.0,3.0,132.0,4
2093,Hoodi,1837.0,3.0,145.0,3
2094,Haralur Road,1200.0,4.0,245.0,4
2095,Kudlu Gate,1238.0,2.0,55.0,2
2096,7th Phase JP Nagar,1405.0,2.0,59.01,3
2097,Doddaballapur,1690.0,3.0,80.0,4
2098,other,1620.0,2.0,110.0,3
2099,Kanakpura Road,1673.0,3.0,115.0,3
2100,Margondanahalli,1090.0,2.0,58.0,2
2101,Varthur,1112.0,2.0,40.0,2
2102,Marathahalli,1385.0,2.0,66.65,3
2103,Electronic City Phase II,545.0,1.0,27.0,2
2104,Subramanyapura,985.0,2.0,58.0,2
2105,Kanakpura Road,825.0,1.0,36.29,1
2106,Kanakpura Road,1080.0,2.0,37.8,2
2107,Hosa Road,1430.0,2.0,97.52,2
2108,Kengeri Satellite Town,1050.0,2.0,43.0,2
2109,Kumaraswami Layout,2000.0,4.0,139.0,4
2110,Banashankari Stage VI,4800.0,4.0,190.0,4
2111,other,1533.0,3.0,115.0,3
2112,other,2800.0,3.0,500.0,4
2113,Malleshwaram,2610.0,3.0,399.0,3
2114,Lakshminarayana Pura,1750.0,3.0,150.0,3
2115,TC Palaya,1200.0,2.0,66.0,3
2116,Prithvi Layout,1352.0,2.0,87.5,2
2117,Harlur,1754.0,3.0,125.0,3
2118,other,1560.0,3.0,85.0,3
2119,Bannerghatta,3012.0,6.0,268.0,4
2120,Whitefield,3584.0,4.0,199.0,4
2121,Channasandra,1470.0,2.0,90.0,3
2122,9th Phase JP Nagar,1035.0,2.0,45.0,2
2123,Whitefield,2400.0,5.0,329.0,4
2124,Kammanahalli,1160.0,2.0,52.0,2
2125,Jakkur,1100.0,2.0,52.0,2
2126,Horamavu Agara,1170.0,2.0,38.0,2
2127,Bannerghatta Road,595.0,1.0,31.83,1
2128,HSR Layout,1650.0,3.0,110.0,3
2129,1st Block Jayanagar,1875.0,2.0,235.0,3
2130,other,800.0,4.0,80.0,4
2131,other,1375.0,2.0,48.06,3
2132,Ramagondanahalli,1235.0,2.0,46.8,2
2133,other,750.0,1.0,25.0,1
2134,7th Phase JP Nagar,1400.0,3.0,115.0,3
2135,Poorna Pragna Layout,1270.0,2.0,50.79,3
2136,Bannerghatta Road,1105.0,2.0,51.0,2
2137,other,1375.0,2.0,85.0,3
2138,Attibele,2168.0,4.0,95.0,4
2139,Gottigere,1200.0,8.0,90.0,8
2140,Yelahanka,1065.0,2.0,40.84,2
2141,other,3800.0,3.0,580.0,3
2142,Raja Rajeshwari Nagar,3125.0,9.0,350.0,9
2143,Whitefield,825.0,1.0,45.0,1
2144,other,1095.0,2.0,40.0,2
2145,Ganga Nagar,720.0,3.0,65.0,3
2146,other,1440.0,2.0,60.33,3
2147,Electronic City,870.0,2.0,39.5,2
2148,Panathur,1195.0,2.0,84.0,2
2149,other,1200.0,2.0,49.5,2
2150,Raja Rajeshwari Nagar,1530.0,3.0,61.2,3
2151,Padmanabhanagar,1708.0,2.0,90.5,3
2152,other,975.0,2.0,43.0,2
2153,KR Puram,750.0,2.0,25.0,2
2154,other,1200.0,8.0,190.0,8
2155,Iblur Village,1920.0,3.0,130.0,3
2156,Nagarbhavi,1200.0,5.0,240.0,6
2157,Thanisandra,1183.0,2.0,58.56,2
2158,Kothanur,1140.0,4.0,90.0,4
2159,Mico Layout,1550.0,2.0,65.0,3
2160,Kaggadasapura,1110.0,2.0,53.0,2
2161,Kaggadasapura,1105.0,2.0,38.67,2
2162,Anekal,1800.0,3.0,68.0,3
2163,other,2800.0,4.0,200.0,5
2164,Bommanahalli,1000.0,2.0,29.9,2
2165,Prithvi Layout,1190.0,2.0,68.0,2
2166,2nd Stage Nagarbhavi,1350.0,4.0,200.0,4
2167,Hebbal,3067.0,4.0,230.0,4
2168,Sarjapur  Road,1929.0,4.0,103.0,3
2169,Ramamurthy Nagar,1525.0,3.0,100.0,3
2170,Nehru Nagar,1775.0,3.0,110.0,3
2171,Banashankari,1125.0,2.0,63.0,2
2172,other,900.0,2.0,42.0,2
2173,Sarjapur  Road,1155.0,2.0,58.0,2
2174,Hulimavu,1200.0,4.0,75.0,4
2175,Sonnenahalli,1268.0,2.0,73.0,2
2176,other,1500.0,3.0,88.0,3
2177,Electronic City,630.0,1.0,47.0,1
2178,Seegehalli,1525.0,3.0,65.0,3
2179,Kaggadasapura,1060.0,2.0,48.0,2
2180,Lingadheeranahalli,1687.0,3.0,127.0,3
2181,Thanisandra,1847.0,3.0,123.0,3
2182,Begur Road,1410.0,2.0,53.0,3
2183,7th Phase JP Nagar,1075.0,2.0,42.99,2
2184,Rajaji Nagar,3526.0,4.0,492.0,4
2185,BTM Layout,3000.0,3.0,338.0,3
2186,Basavangudi,1500.0,2.0,143.0,3
2187,other,1010.0,2.0,46.0,2
2188,Haralur Road,1875.0,3.0,110.0,3
2189,other,1200.0,6.0,137.0,5
2190,Kanakpura Road,983.0,2.0,50.6,2
2191,Kasturi Nagar,1101.0,2.0,65.0,2
2192,other,1140.0,2.0,76.0,2
2193,Sarjapur  Road,1215.0,2.0,110.0,2
2194,Kengeri Satellite Town,1007.0,2.0,42.0,2
2195,Bellandur,2039.0,3.0,168.0,3
2196,Ulsoor,1020.0,3.0,110.0,3
2197,other,1198.0,2.0,84.0,2
2198,other,4000.0,4.0,520.0,4
2199,other,1470.0,4.0,34.5,4
2200,other,1370.0,2.0,75.0,2
2201,other,1316.0,2.0,55.5,2
2202,Kaggadasapura,1350.0,3.0,55.5,3
2203,Gunjur Palya,1050.0,2.0,43.0,2
2204,KR Puram,1128.76,3.0,47.405,3
2205,Electronic City,921.0,2.0,34.0,2
2206,Kundalahalli,1010.0,2.0,49.27,2
2207,KR Puram,1015.0,2.0,43.0,2
2208,TC Palaya,1200.0,2.0,66.5,3
2209,Lakshminarayana Pura,1179.0,2.0,75.0,2
2210,Anjanapura,1850.0,4.0,86.0,4
2211,Kammasandra,870.0,2.0,24.0,2
2212,Bellandur,1605.0,3.0,85.0,3
2213,Banashankari Stage VI,2800.0,4.0,89.0,4
2214,Malleshwaram,2475.0,4.0,320.0,3
2215,other,3000.0,2.0,510.0,2
2216,other,2400.0,7.0,110.0,6
2217,other,1000.0,1.0,55.0,2
2218,Ramamurthy Nagar,1200.0,2.0,80.0,2
2219,other,1200.0,2.0,125.0,2
2220,Kammasandra,1200.0,2.0,66.0,2
2221,other,1200.0,2.0,50.0,2
2222,Hennur,1255.0,2.0,57.5,2
2223,Hosur Road,1085.0,2.0,30.38,2
2224,Kanakpura Road,1592.0,3.0,125.0,3
2225,other,1313.0,2.0,58.27,2
2226,Kogilu,1934.0,3.0,150.0,3
2227,Harlur,1200.0,2.0,49.5,2
2228,Uttarahalli,3600.0,6.0,120.0,6
2229,Old Madras Road,935.0,2.0,45.0,2
2230,Bommasandra,877.0,2.0,30.0,2
2231,other,936.0,2.0,42.0,2
2232,Nagasandra,1470.0,2.0,110.0,3
2233,other,1050.0,1.0,70.0,1
2234,Hennur Road,1232.0,2.0,69.61,2
2235,Ambedkar Nagar,2225.0,4.0,169.0,3
2236,other,1200.0,2.0,80.0,3
2237,Dasarahalli,1901.0,3.0,119.0,3
2238,Sarjapur  Road,1819.0,3.0,100.0,3
2239,other,1464.0,3.0,56.0,3
2240,Banashankari,2400.0,2.0,460.0,2
2241,Old Madras Road,3715.0,6.0,200.5,4
2242,9th Phase JP Nagar,5000.0,4.0,290.0,4
2243,other,1200.0,4.0,169.0,4
2244,other,1256.0,2.0,60.0,2
2245,7th Phase JP Nagar,1100.0,2.0,44.0,2
2246,TC Palaya,4800.0,3.0,302.0,4
2247,Kothanur,1435.0,3.0,70.0,3
2248,6th Phase JP Nagar,3245.0,4.0,250.0,4
2249,Sarjapur  Road,1845.0,4.0,110.0,3
2250,Jigani,2400.0,4.0,130.0,3
2251,HSR Layout,1140.0,2.0,46.0,2
2252,Ulsoor,1200.0,2.0,60.0,2
2253,Talaghattapura,2254.0,3.0,170.0,3
2254,Frazer Town,1750.0,3.0,150.0,3
2255,other,1020.0,2.0,37.0,2
2256,Bommanahalli,515.0,1.0,25.0,1
2257,Lingadheeranahalli,1893.0,3.0,140.0,3
2258,other,3025.0,3.0,500.0,3
2259,other,830.0,2.0,34.0,2
2260,Singasandra,600.0,2.0,36.5,2
2261,Bisuvanahalli,1075.0,2.0,90.0,3
2262,other,3200.0,4.0,1200.0,4
2263,Kasavanhalli,1200.0,2.0,78.0,2
2264,Sarjapur  Road,1233.0,2.0,77.65,2
2265,Bannerghatta Road,1255.0,2.0,65.26,2
2266,Begur Road,1200.0,2.0,37.8,2
2267,Varthur,2145.0,3.0,175.0,3
2268,1st Phase JP Nagar,1500.0,5.0,85.0,5
2269,Kothannur,740.0,2.0,34.0,2
2270,Kengeri,1250.0,3.0,48.0,3
2271,other,1210.0,2.0,40.0,2
2272,Sarjapur  Road,1525.0,2.0,60.0,3
2273,Kogilu,540.0,1.0,36.0,1
2274,Tumkur Road,1240.0,2.0,84.0,3
2275,Subramanyapura,1245.0,2.0,68.0,3
2276,other,1865.0,3.0,350.0,3
2277,Hosa Road,1104.0,2.0,36.43,2
2278,Bisuvanahalli,1075.0,2.0,35.99,3
2279,Nagavara,2200.0,2.0,55.0,2
2280,Whitefield,1155.0,2.0,60.0,2
2281,other,1520.0,2.0,62.0,2
2282,Thigalarapalya,3122.0,6.0,245.0,4
2283,Harlur,1290.0,2.0,85.0,2
2284,other,2300.0,3.0,80.0,3
2285,Kannamangala,3000.0,4.0,200.0,4
2286,other,400.0,1.0,14.0,1
2287,Banashankari,1340.0,2.0,53.6,3
2288,Malleshwaram,900.0,2.0,95.0,2
2289,Rajaji Nagar,1800.0,4.0,324.0,6
2290,Hennur Road,987.0,2.0,49.0,2
2291,Old Madras Road,1720.0,3.0,100.0,3
2292,Hebbal,1040.0,2.0,50.0,2
2293,Anandapura,900.0,2.0,64.0,2
2294,Raja Rajeshwari Nagar,1030.0,2.0,50.0,2
2295,Neeladri Nagar,2556.0,3.0,133.0,3
2296,Basavangudi,1850.0,3.0,168.0,3
2297,Kaval Byrasandra,750.0,4.0,110.0,4
2298,Balagere,1028.0,2.0,31.86,2
2299,7th Phase JP Nagar,1270.0,2.0,83.0,2
2300,Sahakara Nagar,1655.0,3.0,115.0,3
2301,Electronics City Phase 1,940.0,2.0,40.0,2
2302,Domlur,1050.0,2.0,85.0,2
2303,other,600.0,4.0,40.0,4
2304,other,946.0,2.0,38.0,2
2305,CV Raman Nagar,1726.0,3.0,145.0,3
2306,Sarakki Nagar,2121.0,4.0,253.0,3
2307,Vittasandra,1404.0,2.0,75.0,2
2308,Sarjapur,1525.0,2.0,48.0,3
2309,Kengeri,1025.0,2.0,57.0,2
2310,other,1575.0,4.0,150.0,5
2311,other,860.0,1.0,43.0,2
2312,Talaghattapura,1223.0,2.0,42.81,3
2313,other,3750.0,3.0,550.0,4
2314,Kothannur,1197.0,2.0,47.8,2
2315,Garudachar Palya,1150.0,2.0,52.75,2
2316,other,4800.0,5.0,629.0,4
2317,R.T. Nagar,1040.0,2.0,46.0,2
2318,Banashankari,1310.0,2.0,80.0,2
2319,Uttarahalli,1788.0,3.0,98.34,3
2320,Raja Rajeshwari Nagar,1144.0,2.0,38.55,2
2321,Anjanapura,1070.0,2.0,39.0,2
2322,other,1200.0,2.0,70.0,2
2323,Ambedkar Nagar,1862.0,3.0,120.0,3
2324,Margondanahalli,1200.0,2.0,58.5,2
2325,Begur Road,970.0,2.0,27.0,2
2326,Kasavanhalli,1646.0,3.0,79.5,3
2327,Sarjapur  Road,4395.0,4.0,242.0,4
2328,other,1200.0,4.0,100.0,5
2329,Iblur Village,1995.0,3.0,135.0,3
2330,1st Block Jayanagar,2400.0,4.0,450.0,4
2331,Hosakerehalli,1085.0,2.0,47.74,2
2332,Budigere,1139.0,2.0,56.8,2
2333,Haralur Road,1092.0,2.0,44.0,2
2334,Pattandur Agrahara,1767.0,3.0,98.0,3
2335,other,1700.0,3.0,80.0,3
2336,Bellandur,1692.0,3.0,88.0,3
2337,6th Phase JP Nagar,1645.0,3.0,100.0,3
2338,Uttarahalli,1345.0,2.0,57.0,3
2339,Basapura,1100.0,2.0,60.0,2
2340,Gollarapalya Hosahalli,1408.0,3.0,62.0,3
2341,Banashankari Stage III,2400.0,4.0,240.0,4
2342,Kadugodi,1920.0,4.0,200.0,4
2343,other,6040.0,4.0,170.0,5
2344,Thigalarapalya,2072.0,4.0,150.0,3
2345,Malleshwaram,1420.0,2.0,158.0,2
2346,Electronics City Phase 1,2040.0,3.0,137.0,3
2347,Sarjapur  Road,1220.0,3.0,56.0,3
2348,8th Phase JP Nagar,1200.0,4.0,145.0,4
2349,other,1300.0,2.0,79.0,2
2350,Electronics City Phase 1,1150.0,2.0,39.0,2
2351,KR Puram,1470.0,2.0,86.0,2
2352,Hosa Road,1063.0,2.0,31.9,2
2353,other,1311.0,2.0,48.0,2
2354,other,3500.0,4.0,350.0,4
2355,Nagarbhavi,600.0,2.0,100.0,4
2356,other,1400.0,2.0,55.0,3
2357,Kanakpura Road,2200.0,2.0,62.0,2
2358,Thanisandra,1430.0,2.0,56.0,3
2359,Vidyaranyapura,1060.0,2.0,55.0,2
2360,other,1000.0,2.0,110.0,3
2361,Sector 7 HSR Layout,1760.0,3.0,145.0,3
2362,Whitefield,2010.0,3.0,92.0,3
2363,Kanakpura Road,1480.0,2.0,64.23,3
2364,8th Phase JP Nagar,1230.0,2.0,43.5,3
2365,Gottigere,1300.0,3.0,65.0,3
2366,other,800.0,4.0,120.0,4
2367,Frazer Town,4850.0,6.0,385.0,4
2368,Singasandra,1100.0,2.0,52.0,2
2369,Harlur,1752.12,3.0,116.0,3
2370,Marathahalli,957.0,2.0,46.9,2
2371,Balagere,790.5,1.0,41.9,1
2372,other,1942.0,3.0,102.0,3
2373,other,1000.0,2.0,53.0,2
2374,Yeshwanthpur,668.0,1.0,36.85,1
2375,other,3000.0,6.0,1000.0,5
2376,Nagarbhavi,600.0,2.0,80.0,3
2377,Uttarahalli,1089.0,2.0,43.55,2
2378,Thanisandra,1800.0,3.0,90.0,3
2379,Yelahanka New Town,960.0,2.0,18.0,1
